Z-C-001,Pavel Scott,Gunner
Z-C-002,Harry Riker,Gunner
Z-C-003,Jayne Raccoon,Pilot
Z-C-004,Hope Ripley,Gunner
Z-C-005,Nebula Cobb,TorpedoHandler
Z-C-006,Drax Calrissian,TorpedoHandler
Z-C-007,Kara Kryze,TorpedoHandler
Z-C-008,Cora Riker,TorpedoHandler
Z-C-009,Ford Taylor,TorpedoHandler
Z-C-010,Harry Kenobi,TorpedoHandler
Z-C-011,Drax Wagner,TorpedoHandler
Z-C-012,Thanos Drake,Pilot
Z-C-013,Mantis Washburne,TorpedoHandler
Z-C-014,Fox Reynolds,TorpedoHandler
Z-C-015,Hikaru Marko,Gunner
Z-C-016,Flynn Skywalker,TorpedoHandler
Z-C-017,Jayne Thrace,Pilot
Z-C-018,Geordi McCoy,Pilot
Z-C-019,Mantis LaForge,Pilot
