R-C-001,Luke McCoy,Gunner
R-C-002,Kaylee Cornelius,Pilot
R-C-003,Thor Calrissian,Pilot
R-C-004,Jean-Luc Jameson,TorpedoHandler
R-C-005,Gamora Mulder,Gunner
R-C-006,Apoc Cornelius,Gunner
R-C-007,Geordi Troi,Gunner
R-C-008,Steve Barton,TorpedoHandler
R-C-009,Hank Frye,Pilot
R-C-010,Drax Vader,Pilot
R-C-011,Jayne Torres,TorpedoHandler
R-C-012,Tony Stacy,TorpedoHandler
R-C-013,Thor Danvers,Gunner
R-C-014,Smith Rogue,Pilot
R-C-015,Inara Skywalker,TorpedoHandler
R-C-016,William McCoy,TorpedoHandler
R-C-017,Hoshi Djarin,Pilot
R-C-018,Kathryn Organa,TorpedoHandler
R-C-019,Brett Strange,Gunner
R-C-020,Yori Mulder,Gunner
R-C-021,Call Stark,TorpedoHandler
R-C-022,Pavel Cornelius,TorpedoHandler
R-C-023,Zoe Crusher,Pilot
R-C-024,Steve Sulu,TorpedoHandler
R-C-025,Arthur Calrissian,Gunner
R-C-026,Peter Serra,Gunner
R-C-027,Zaphod Malak,Gunner
R-C-028,Sam Torres,Gunner
R-C-029,Mouse Tarkin,TorpedoHandler
R-C-030,Arthur Rasputin,TorpedoHandler
R-C-031,Beverly Morales,Gunner
R-C-032,Morpheus Barton,Pilot
R-C-033,Newt Morales,Pilot
R-C-034,Anakin Crusher,TorpedoHandler
R-C-035,Rocket Romanoff,TorpedoHandler
R-C-036,Hope Djarin,Pilot
R-C-037,Korben Parker,Gunner
R-C-038,Strange Stark,TorpedoHandler
R-C-039,Arthur Windu,Pilot
R-C-040,Ellen Dent,TorpedoHandler
R-C-041,Vasquez Riker,Pilot
R-C-042,Pym Octavius,Gunner
R-C-043,Hudson Maximoff,Gunner
R-C-044,Ash Morbius,Gunner
R-C-045,Ash Grievous,Gunner
R-C-046,Mouse Cornelius,Gunner
R-C-047,Janet Ripley,TorpedoHandler
R-C-048,Thanos Dallas,Gunner
R-C-049,Apoc Jameson,Gunner
R-C-050,Groot Brock,Pilot
R-C-051,Tuvok Summers,TorpedoHandler
R-C-052,Tuvok Laufeyson,TorpedoHandler
R-C-053,Lee Laufeyson,TorpedoHandler
R-C-054,Bruce LeBeau,Pilot
R-C-055,Arthur Morbius,Gunner
R-C-056,Anakin Kasady,TorpedoHandler
R-C-057,Spock Djarin,Gunner
R-C-058,Seven Chekov,Gunner
R-C-059,Leeloo Spock,Gunner
R-C-060,Cornelius Brock,TorpedoHandler
R-C-061,Neo Fett,TorpedoHandler
R-C-062,Cypher Lensherr,Gunner
R-C-063,Brett Cobb,TorpedoHandler
R-C-064,Lang LeBeau,TorpedoHandler
R-C-065,Logan Dooku,Gunner
R-C-066,Leia Fett,Pilot
R-C-067,Flynn Mayweather,Pilot
R-C-068,Leeloo Storm,Gunner
R-C-069,Luke Uhura,Pilot
R-C-070,Sam Morbius,Pilot
R-C-071,Han Revan,Gunner
R-C-072,Newt Laufeyson,TorpedoHandler
R-C-073,Montgomery Zorg,Gunner
R-C-074,Natasha Dillon,TorpedoHandler
R-C-075,Apoc Ripley,Gunner
R-C-076,Harry Quill,TorpedoHandler
R-C-077,Han Grey,TorpedoHandler
R-C-078,Zoe Kirk,Gunner
R-C-079,Inara Osborn,Pilot
R-C-080,Zaphod Kirk,Gunner
R-C-081,Ash Chekov,Gunner
R-C-082,Bruce Djarin,TorpedoHandler
R-C-083,Seven Kirk,TorpedoHandler
R-C-084,Thor Quill,Pilot
R-C-085,Travis Dillon,TorpedoHandler
R-C-086,Hikaru Maximoff,TorpedoHandler
R-C-087,Drax Organa,Pilot
R-C-088,Deanna Morales,Pilot
R-C-089,Leia Reynolds,TorpedoHandler
R-C-090,Kane Strange,Gunner
R-C-091,Ash Rasputin,Gunner
R-C-092,Sark Paris,TorpedoHandler
R-C-093,Obi-Wan Thrace,Pilot
