Z-C-001,Groot Raccoon,Gunner
Z-C-002,Mantis Organa,TorpedoHandler
Z-C-003,Natasha Yoda,TorpedoHandler
Z-C-004,Luke Thrace,Gunner
Z-C-005,Dave Taylor,Pilot
Z-C-006,Nebula Sato,Gunner
Z-C-007,Cassie Kim,TorpedoHandler
Z-C-008,River Zorg,Gunner
Z-C-009,Cora Dooku,Pilot
Z-C-010,Charles Kim,TorpedoHandler
Z-C-011,Pym Adama,Pilot
Z-C-012,Malcolm Wagner,Pilot
Z-C-013,Kara Zorg,Gunner
Z-C-014,Pavel Baltar,Gunner
Z-C-015,Montgomery Malak,Pilot
Z-C-016,Call Raccoon,Gunner
Z-C-017,Pietro Raccoon,TorpedoHandler
Z-C-018,Peter Tano,Gunner
Z-C-019,Clint Grey,Gunner
Z-C-020,Mouse Sulu,Pilot
Z-C-021,Cora Chekov,Gunner
Z-C-022,Tron Grievous,TorpedoHandler
Z-C-023,Leia Prefect,Gunner
Z-C-024,Cornelius Morales,Gunner
Z-C-025,Zoe Windu,Gunner
Z-C-026,Kane Rogers,TorpedoHandler
Z-C-027,Spock Odinson,Pilot
Z-C-028,Pietro Tam,Gunner
Z-C-029,Neo Baltar,TorpedoHandler
Z-C-030,Hikaru Washburne,TorpedoHandler
Z-C-031,Kathryn Octavius,TorpedoHandler
Z-C-032,Scott Mulder,Pilot
Z-C-033,Loki Tam,TorpedoHandler
Z-C-034,Rocket Rogers,Gunner
Z-C-035,Wong Malak,Pilot
Z-C-036,Groot Kasady,Gunner
Z-C-037,Hank Chekov,TorpedoHandler
Z-C-038,Geordi Drake,TorpedoHandler
Z-C-039,Kane Storm,Pilot
Z-C-040,Tom Barton,Pilot
Z-C-041,Fox Spock,Gunner
Z-C-042,Parker Washburne,Gunner
Z-C-043,Zaphod Organa,Gunner
Z-C-044,Nova Marko,Gunner
Z-C-045,Pym Skywalker,Gunner
Z-C-046,Yori Uhura,TorpedoHandler
Z-C-047,Obi-Wan Picard,Gunner
Z-C-048,Quorra McCoy,Gunner
Z-C-049,Hank Lensherr,TorpedoHandler
Z-C-050,Zaphod Morales,Gunner
Z-C-051,Tony Uhura,Pilot
Z-C-052,Leia Brock,Pilot
Z-C-053,Arthur Strange,Pilot
Z-C-054,Riddick Prefect,Gunner
Z-C-055,Raven Odinson,TorpedoHandler
Z-C-056,Mouse Dallas,Gunner
Z-C-057,Hank Grey,Gunner
Z-C-058,Simon Windu,Gunner
Z-C-059,Wong Solo,TorpedoHandler
Z-C-060,Tron Morales,Pilot
Z-C-061,Gaius Storm,Gunner
Z-C-062,Ash Sulu,Gunner
Z-C-063,Hope Beck,Gunner
Z-C-064,Bruce Grievous,Gunner
Z-C-065,Quorra Rogers,Pilot
Z-C-066,Duck Rogers,Gunner
Z-C-067,Rochunga Hannas,Gunner
Z-C-068,Nimetias Jadanas,Gunner
Z-C-069,Jannette Do,Gunner
Z-C-070,Fatimah Ahmad,Gunner
Z-C-071,Inego Montoya,Gunner
Z-C-072,Dred Roberts,Gunner
Z-C-073,Judge Ling,Gunner
Z-C-074,Gywnne Ahmadya,Gunner
Z-C-075,Heh Pee,Gunner
Z-C-076,Namyu Midnaska,Gunner
Z-C-077,Drians Maidabne,Gunner
Z-C-078,Tammy Gdanks,Gunner
Z-C-079,Yakuki Smith,Gunner
